#,Core Skill,Skill ID,Support Skill 1,Support Skill 2,Support Skill 3,Support Skill 4
1,Landing Page,landing-page,brand-guide-extractor,copywriting,soft-visual-design,taste-frontend
2,Website,frontend-design,redesign,ux-motion,scroll-stop-builder,soft-visual-design
3,BIP,bip,brand-guide-extractor,copywriting,nanobanana,polish
4,Case Study,case-study,brand-guide-extractor,copywriting,nanobanana,polish
5,Newsletter,newsletter-designer,copywriting,nanobanana,logo-creator,polish
6,Brand Guide,brand-guide-extractor,copywriting,soft-visual-design,,
7,Copywriting,copywriting,content-strategy,seo-geo,,
8,Design System,soft-visual-design,taste-frontend,typeset,colorize,
9,Image Generation,nanobanana,logo-creator,banner-creator,baoyu-cover-image,
10,Motion & Animation,ux-motion,animate,scroll-stop-builder,delight,
